STRUCTURE_NUMBER_008,LOCATION_009,"coordinates (lat, lon)",ADT_029,PERCENT_ADT_TRUCK_109,ADTT,SLF,ADTT_SL,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,EFFECTIVE_YEAR,AGE,STRUCTURE_KIND_043A,AM_years,AE_years,Risk_Index
1.8057E+14,0.3 Mi E of IH 45,"32.465883, -96.460953",175684,11.0,19325.24,1.0,19325.24,1964,1994.0,1994.0,31.0,4,2.2683090320408000,1.1341545160204000,0.9999192156418360
1.8057E+14,0.3 Mi E of IH 45,"32.470972, -96.460329",175684,11.0,19325.24,1.0,19325.24,1964,1994.0,1994.0,31.0,4,2.2683090320408000,1.1341545160204000,0.9999192156418360
1.8057E+14,0.5 Mi N of IH 30,"32.463764, -96.484373",94946,9.0,8545.14,1.0,8545.14,1955,0.0,1955.0,70.0,3,5.129888619537680,2.564944309768840,0.999918492420521
1.217E+14,AT HARRIS C/L,"30.06403, -95.261253",243893,7.0,17072.510000000000,1.0,17072.510000000000,1990,0.0,1990.0,35.0,4,2.567614043767210,1.283807021883610,0.9999180008296530
1.5015E+14,1.8 MI NE OF SPUR 422,"29.212401, -98.313349",78838,21.0,16555.98,1.0,16555.98,1960,1989.0,1989.0,36.0,4,2.6477210312138700,1.3238605156069300,0.99991678338806
1.5015E+14,1.8 MI NE OF SPUR 422,"29.212395, -98.313307",78838,21.0,16555.98,1.0,16555.98,1960,1989.0,1989.0,36.0,4,2.6477210312138700,1.3238605156069300,0.99991678338806
1.5015E+14,4.3 MI E OF IH 37/US 281,"29.272315, -98.244698",72717,13.0,9453.21,1.0,9453.21,1962,0.0,1962.0,63.0,4,4.6371144233922800,2.3185572116961400,0.9999164091520880
1.5015E+14,4.3 MI E OF IH 37/US 281,"29.272339, -98.244755",72717,13.0,9453.21,1.0,9453.21,1962,0.0,1962.0,63.0,4,4.6371144233922800,2.3185572116961400,0.9999164091520880
1.8057E+14,3.00 MI N OF LP 12,"32.54193, -96.460831",187971,7.0,13157.97,1.0,13157.97,1950,1980.0,1980.0,45.0,4,3.3314877932048900,1.6657438966024500,0.999913566508751
1.5015E+14,IH 35 @ IH 10,"29.234653, -98.304074",173066,9.0,15575.94,1.0,15575.94,1967,1987.0,1987.0,38.0,4,2.8143159538593600,1.4071579769296800,0.9999133788039140
2.0124E+14,1.2 MI E OF US 69,"30.05456, -94.070591",78230,21.0,16428.3,1.0,16428.3,1955,1989.0,1989.0,36.0,4,2.6682989985790500,1.3341494992895200,0.9999129841884200
1.8057E+14,3.2 Mi N of Loop 12,"32.542702, -96.540287",175521,7.0,12286.47,1.0,12286.47,1977,0.0,1977.0,48.0,4,3.567795830564530,1.783897915282260,0.999911557833154
1.5015E+14,0.5 MI E OF IH 35,"29.234625, -98.301574",154438,10.0,15443.8,1.0,15443.8,1967,1987.0,1987.0,38.0,4,2.838395760004410,1.419197880002210,0.9999090282106980
1.5015E+14,0.6 MI E OF IH 35,"29.234625, -98.30093",154438,10.0,15443.8,1.0,15443.8,1967,1987.0,1987.0,38.0,4,2.838395760004410,1.419197880002210,0.9999090282106980
1.8057E+14,0.7 MI E OF JUPITER RD,"32.521489, -96.402801",76110,13.0,9894.3,1.0,9894.3,1967,0.0,1967.0,58.0,4,4.430390875388470,2.215195437694240,0.9998965940559730
1.8057E+14,3.5 MI NW OF IH 30,"32.515059, -96.394182",76110,13.0,9894.3,1.0,9894.3,1967,0.0,1967.0,58.0,4,4.430390875388470,2.215195437694240,0.9998965940559730
1.8057E+14,1.1 MI E OF JUPITER RD,"32.520508, -96.400461",76110,13.0,9894.3,1.0,9894.3,1967,0.0,1967.0,58.0,4,4.430390875388470,2.215195437694240,0.9998965940559730
1.8057E+14,0.7 MI E OF JUPITER RD,"32.521364, -96.402573",76110,13.0,9894.3,1.0,9894.3,1967,0.0,1967.0,58.0,4,4.430390875388470,2.215195437694240,0.9998965940559730
1.2102E+14,1.50 MI N OF SH 225,"29.433048, -95.155924",136576,8.0,10926.08,1.0,10926.08,1973,0.0,1973.0,52.0,4,4.012016792697490,2.006008396348740,0.9998905368203610
